minimum m,c is 1.300000,34.980000 with error 9.549370,,,
Time elapsed was 900803477ns or 0.900803477s,,,,,0.900803477
minimum m,c is 1.300000,34.980000 with error 9.549370,,,
Time elapsed was 872672208ns or 0.872672208s,,,,,0.872672208
minimum m,c is 1.300000,34.980000 with error 9.549370,,,
Time elapsed was 1013854309ns or 1.013854309s,,,,,1.013854309
minimum m,c is 1.300000,34.980000 with error 9.549370,,,
Time elapsed was 1134753936ns or 1.134753936s,,,,,1.134753936
minimum m,c is 1.300000,34.980000 with error 9.549370,,,
Time elapsed was 1178990699ns or 1.178990699s,,,,,1.178990699
minimum m,c is 1.300000,34.980000 with error 9.549370,,,
Time elapsed was 1249805096ns or 1.249805096s,,,,,1.249805096
minimum m,c is 1.300000,34.980000 with error 9.549370,,,
Time elapsed was 1115030347ns or 1.115030347s,,,,,1.115030347
minimum m,c is 1.300000,34.980000 with error 9.549370,,,
Time elapsed was 959667825ns or 0.959667825s,,,,,0.959667825
minimum m,c is 1.300000,34.980000 with error 9.549370,,,
Time elapsed was 886709023ns or 0.886709023s,,,,,0.886709023
minimum m,c is 1.300000,34.980000 with error 9.549370,,,
Time elapsed was 1001326421ns or 1.001326421s,,,,,1.001326421
,,,,,
Mean Time =,,,,,1.0313613341
