x,y
0,18
1,19.3
2,20.6
3,21.9
4,23.2
5,24.5
6,25.8
7,27.1
8,28.4
9,29.7
10,31
11,32.3
12,33.6
13,34.9
14,36.2
15,37.5
16,38.8
17,40.1
18,41.4
19,42.7
20,44
21,45.3
22,46.6
23,47.9
24,49.2
25,50.5
26,51.8
27,53.1
28,54.4
29,55.7
30,57
31,58.3
32,59.6
33,60.9
34,62.2
35,63.5
36,64.8
37,66.1
38,67.4
39,68.7
40,70
41,71.3
42,72.6
43,73.9
44,75.2
45,76.5
46,77.8
47,79.1
48,80.4
49,81.7
50,83
51,84.3
52,85.6
53,86.9
54,88.2
55,89.5
56,90.8
57,92.1
58,93.4
59,94.7
60,96
61,97.3
62,98.6
63,99.9
64,101.2
65,102.5
66,103.8
67,105.1
68,106.4
69,107.7
70,109
71,110.3
72,111.6
73,112.9
74,114.2
75,115.5
76,116.8
77,118.1
78,119.4
79,120.7
80,122
81,123.3
82,124.6
83,125.9
84,127.2
85,128.5
86,129.8
87,131.1
88,132.4
89,133.7
90,135
91,136.3
92,137.6
93,138.9
94,140.2
95,141.5
96,142.8
97,144.1
98,145.4
99,146.7
